"","sibs","age","incom16","pasei10","masei10","granborn","reg16east_south_atlantic","reg16foreign","reg16middle_atlantic","reg16mountain","reg16new_england","reg16pacific","reg16south_atlantic","reg16west_north_central","reg16west_south_central","res16in_a_large_city_(over_250,000)","res16in_a_medium-size_city_(50,000-250,000)","res16in_a_small_city_or_town_(under_50,000)","res16in_a_suburb_near_a_large_city","res16in_open_country_but_not_on_a_farm","res16large_city","res16medium_size_city","res16small_city_or_town"
"1310",3,72,1,23.3,12.6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"1311",6,27,2,57.5,73.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1314",1,23,4,75.6,37.8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"1316",1,20,2,83.8,38.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"1318",8,42,4,45.4,37.6,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"1324",2,46,3,62,38.3,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"1325",2,44,3,57.4,38.8,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"1327",3,45,5,67.7,53.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1338",3,46,3,26.8,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"1362",3,38,3,65.3,46.6,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"1365",3,37,2,13.6,13.6,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"1403",2,35,3,59.1,69.3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"1404",2,56,3,67.7,84.2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"1407",2,64,2,86.5,76.3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"1415",3,60,4,52.4,84.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1430",4,61,3,38.8,36.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1432",1,46,3,32,59.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1436",1,63,3,35.2,26.8,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1452",1,56,4,53.6,80.9,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"1456",3,56,4,32,38.3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"1465",2,37,2,23.3,26.9,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"1475",4,48,3,77.4,80.9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"1478",2,68,3,89.1,25.7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"1494",3,63,5,89.1,77.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"1499",2,79,2,65.1,35.8,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1501",2,52,4,69.3,56.9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"1505",2,45,3,92.8,84.2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"1512",3,47,4,73.5,38.1,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1529",2,50,4,39.7,38.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1534",5,29,2,14,14,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"1547",2,57,2,45.4,30.9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"1553",3,40,1,20.7,26.5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"1560",5,73,5,50.4,27,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"1564",1,49,3,59.1,67.7,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"1573",4,53,2,52,39.7,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"1575",1,42,2,67.7,59.1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"1578",1,59,2,28.3,17.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"1588",1,66,2,43,23.3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"1598",1,35,3,45.1,76.3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"1605",2,28,3,20.5,21.6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"1610",1,72,3,20.9,19.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1626",2,45,3,80.9,80.9,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1630",4,42,2,39.7,19.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"1647",1,22,3,76.3,84.2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"1653",3,50,3,31.6,81,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1655",4,49,3,32,13.2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"1667",1,55,4,28.3,60.3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"1694",2,64,3,28.7,26.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1697",2,60,2,61.4,56.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1699",9,50,1,25.2,12.6,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"1706",5,24,2,27,26.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"1713",10,81,2,32,25.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"1714",5,59,2,28.3,13.6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"1728",1,50,3,39.7,65.3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
"1744",3,67,2,62.6,46.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1755",1,32,4,88,82.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1770",3,67,3,46,47.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1781",2,76,3,32,39.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1789",3,19,3,39.7,21.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1790",1,58,3,27.2,71.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
